plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
KINNABULLA_S5_P1212_R2,2023,10,9,Sumi-alpha flex,faw,L,0.3,0.3L/ha applied in pulses to control grubs - podding
KINNABULLA_S5_P1212_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S5_P1212_R3,2023,10,9,Sumi-alpha flex,faw,L,0.3,0.3L/ha applied in pulses to control grubs - podding
KINNABULLA_S5_P2121_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S5_P2121_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S5_P2121_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P1234_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P1234_R1,2023,10,9,Sumi-alpha flex,faw,L,0.3,0.3L/ha applied in pulses to control grubs - podding
KINNABULLA_S6_P1234_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P1234_R2,2023,10,9,Sumi-alpha flex,faw,L,0.3,0.3L/ha applied in pulses to control grubs - podding
KINNABULLA_S6_P1234_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P1234_R3,2023,10,9,Sumi-alpha flex,faw,L,0.3,0.3L/ha applied in pulses to control grubs - podding
KINNABULLA_S6_P2341_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P2341_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P2341_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P3412_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P3412_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P3412_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P4123_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P4123_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S6_P4123_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S7_P1111_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S7_P1111_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S7_P1111_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S7_P1111_R4,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S7_P1111_R5,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S7_P1111_R6,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P1231_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P1231_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P1231_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P2312_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P2312_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P2312_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P3123_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P3123_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S8_P3123_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P1231_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P1231_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P1231_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P2312_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P2312_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P2312_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P3123_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P3123_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.1_P3123_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P1231_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P1231_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P1231_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P2312_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P2312_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P2312_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P3123_R1,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P3123_R2,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
KINNABULLA_S9.2_P3123_R3,2023,7,10,Le-mat,insects,L,0.12,"0.12L/ha applied to all crop types to control the movement of pests back into pulse crops, could also more intro cereal crops and cause damage, 1-4 node. lucerne flea targeting vetch and lentil."
