,plotID,errorLocation,errorType,errorMsg
27,MANANG_S5_P4123_R1,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
28,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
29,MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
30,MANANG_S8.1_P3123_R1,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
31,MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
32,MANANG_S1.1_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
33,MANANG_S1.1_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
34,MANANG_S1.1_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
35,MANANG_S8.1_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
36,MANANG_S8.1_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
37,MANANG_S8.1_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
38,MANANG_S3_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
39,MANANG_S3_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
40,MANANG_S3_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
41,MANANG_S9_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
42,MANANG_S9_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
43,MANANG_S9_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
44,MANANG_S1.3_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
45,MANANG_S1.3_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
46,MANANG_S1.3_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
47,MANANG_S4_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
48,MANANG_S4_P4123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
49,MANANG_S4_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
50,MANANG_S1.2_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
51,MANANG_S1.2_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
52,MANANG_S1.2_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
53,MANANG_S8.2_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
54,MANANG_S8.2_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
55,MANANG_S8.2_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
56,MANANG_S3_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
57,MANANG_S3_P1231_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
58,MANANG_S3_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
59,MANANG_S2_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
60,MANANG_S2_P2121_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
61,MANANG_S2_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
62,MANANG_S5_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
63,MANANG_S5_P4123_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
64,MANANG_S5_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
65,MANANG_S9_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
66,MANANG_S9_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
67,MANANG_S9_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
68,MANANG_S1.1_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
69,MANANG_S1.1_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
70,MANANG_S1.1_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
71,MANANG_S3_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
72,MANANG_S3_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
73,MANANG_S3_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
74,MANANG_S5_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
75,MANANG_S5_P4123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
76,MANANG_S5_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
77,MANANG_S1.3_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
78,MANANG_S1.3_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
79,MANANG_S1.3_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
80,MANANG_S1.2_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
81,MANANG_S1.2_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
82,MANANG_S1.2_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
83,MANANG_S8.2_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
84,MANANG_S8.2_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
85,MANANG_S8.2_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
86,MANANG_S2_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
87,MANANG_S2_P2121_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
88,MANANG_S2_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
89,MANANG_S3_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
90,MANANG_S3_P1231_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
91,MANANG_S3_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
92,MANANG_S4_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
93,MANANG_S4_P4123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
94,MANANG_S4_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
95,MANANG_S8.1_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
96,MANANG_S8.1_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
97,MANANG_S8.1_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Elantra (Quizalofop 200) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
98,MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
99,MANANG_S8.1_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
100,MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
101,MANANG_S12_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
102,MANANG_S12_P0000_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
103,MANANG_S12_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
104,MANANG_S6_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
105,MANANG_S6_P1111_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
106,MANANG_S6_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
107,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
108,MANANG_S5_P2341_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
109,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
110,MANANG_S8.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
111,MANANG_S8.2_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
112,MANANG_S8.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
113,MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
114,MANANG_S8.1_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
115,MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
116,MANANG_S1.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
117,MANANG_S1.1_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
118,MANANG_S1.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
119,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
120,MANANG_S5_P1234_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
121,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
122,MANANG_S11_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
123,MANANG_S11_P1212_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
124,MANANG_S11_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
125,MANANG_S13_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
126,MANANG_S13_P0000_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
127,MANANG_S13_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
128,MANANG_S9_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
129,MANANG_S9_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
130,MANANG_S9_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
131,MANANG_S1.3_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
132,MANANG_S1.3_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
133,MANANG_S1.3_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
134,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
135,MANANG_S5_P3412_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
136,MANANG_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
137,MANANG_S8.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
138,MANANG_S8.2_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
139,MANANG_S8.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
140,MANANG_S1.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
141,MANANG_S1.2_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
142,MANANG_S1.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
143,MANANG_S10.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
144,MANANG_S10.1_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
145,MANANG_S10.1_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
146,MANANG_S12_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
147,MANANG_S12_P0000_R2,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
148,MANANG_S12_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
149,MANANG_S4_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
150,MANANG_S4_P3412_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
151,MANANG_S4_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
152,MANANG_S1.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
153,MANANG_S1.2_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
154,MANANG_S1.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
155,MANANG_S7_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
156,MANANG_S7_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
157,MANANG_S7_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
158,MANANG_S10.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
159,MANANG_S10.2_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
160,MANANG_S10.2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
161,MANANG_S2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
162,MANANG_S2_P1212_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
163,MANANG_S2_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
164,MANANG_S1.3_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
165,MANANG_S1.3_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
166,MANANG_S1.3_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
167,MANANG_S3_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
168,MANANG_S3_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
169,MANANG_S3_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
170,MANANG_S6_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
171,MANANG_S6_P1111_R2,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
172,MANANG_S6_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Ally must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
