plotID,errorLocation,errorType,errorMsg
ROSEWORTHY_S2_P2121_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P2121_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P1212_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P3123_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P1231_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P2312_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S5_P0000_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S5_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S6_P0000_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S6_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S7_P0000_R1,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S7_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P3123_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P3123_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P2121_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P1212_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P1212_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P2121_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P3123_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P2312_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P1231_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S5_P0000_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S5_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S6_P0000_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S6_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S7_P0000_R2,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S7_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P3123_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S1.2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S1.2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P1212_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S2_P2121_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S2_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P1212_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S3_P2121_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S3_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P2312_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P1231_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S4_P3123_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S4_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S5_P0000_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S5_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S6_P0000_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S6_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
ROSEWORTHY_S7_P0000_R3,checkPlotState,<class 'ValueError'>,Plot ROSEWORTHY_S7_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
