plotID,errorLocation,errorType,errorMsg
STREATHAM_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.4_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.4_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.3_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.3_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S1.3_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.3_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.3_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.3_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.3_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.3_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
STREATHAM_S2.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
